"","Sample.1","Sample.2","Sample.3","Sample.4"
"Cer 34:1;2",NA,NA,NA,NA
"Cer 36:1;2",NA,NA,NA,NA
"Cer 38:1;2",NA,NA,NA,NA
"Cer 40:2;2",NA,NA,NA,NA
"Cer 40:1;2",NA,NA,NA,NA
"Cer 40:2;3",NA,NA,NA,NA
"Cer 42:2;2",NA,NA,NA,NA
"Cer 42:1;2",NA,NA,NA,NA
